 ID,STORE_ID,STOTE_TYPE,LOCATION_TYPE,HOLIDAY,DISCOUNT,DISCOUNT2,ORDER1,SALES
T1000001,1,S1,L3,R1,1,Yes,9,7011.84
T1000002,253,S4,L2,R1,1,Yes,60,51789.12
T1000003,252,S3,L2,R1,1,Yes,42,36868.2
T1000004,251,S2,L3,R1,1,Yes,23,19715.16
T1000005,250,S2,L3,R4,1,Yes,62,45614.52
T1000006,249,S1,L3,R2,1,Yes,39,34211.22
T1000007,248,S1,L1,R2,1,Yes,40,35352.66
T1000008,247,S1,L1,R3,1,Yes,64,52650
T1000009,246,S3,L1,R3,1,Yes,62,42633.78
T1000010,254,S4,L1,R1,1,Yes,87,62572.8
T1000011,245,S4,L1,R2,1,Yes,36,27468.21
T1000012,11,S4,L2,R1,1,Yes,69,57590.4
T1000013,243,S4,L2,R2,1,Yes,69,45563.25
T1000014,242,S4,L1,R1,1,Yes,51,47322.9
T1000015,241,S1,L1,R4,1,Yes,56,42889.89
T1000016,240,S3,L2,R3,1,Yes,59,44319.33
T1000017,239,S3,L1,R3,1,Yes,35,29781.84
T1000018,238,S1,L1,R2,1,Yes,29,26906.61
T1000019,237,S2,L3,R3,1,Yes,55,44858.67
T1000020,244,S2,L5,R4,1,Yes,46,39193.2
T1000021,236,S1,L1,R3,1,Yes,36,32486.76
T1000022,255,S3,L2,R4,1,Yes,63,47317.14
T1000023,256,S1,L2,R4,1,Yes,78,69937.98
T1000024,273,S2,L3,R4,1,Yes,42,31509.72
T1000025,272,S2,L4,R2,1,Yes,48,33665.1
T1000026,271,S1,L3,R2,1,Yes,38,32686.08
T1000027,270,S1,L1,R2,1,Yes,36,25696.5
T1000028,269,S1,L4,R1,1,Yes,48,40115.7
T1000029,268,S1,L2,R1,1,Yes,75,57487.56
T1000030,9,S1,L1,R1,1,Yes,91,68205.15
T1000031,267,S4,L2,R1,1,Yes,49,38205.6
T1000032,10,S4,L2,R3,1,Yes,62,55628.1
T1000033,266,S1,L1,R4,1,Yes,26,20329.92
T1000034,264,S3,L1,R3,1,Yes,59,37365.6
T1000035,263,S1,L5,R1,1,Yes,38,32964.75
T1000036,262,S1,L1,R1,1,Yes,75,60220.8
T1000037,261,S4,L2,R1,1,Yes,36,30555.72
T1000038,260,S1,L1,R4,1,Yes,68,45532.8
T1000039,259,S4,L1,R1,1,Yes,27,23307
T1000040,258,S2,L4,R4,1,Yes,56,47018.07
T1000041,257,S1,L3,R1,1,Yes,38,34259.04
T1000042,265,S2,L4,R2,1,Yes,59,49953.75
T1000043,235,S1,L1,R3,1,Yes,25,19381.86
T1000044,234,S2,L4,R2,1,Yes,29,20883.42
T1000045,233,S1,L3,R3,1,Yes,37,29574.12
T1000046,211,S4,L2,R1,1,Yes,48,34419.6
T1000047,210,S1,L5,R1,1,Yes,49,42340.38
T1000048,209,S1,L1,R1,1,Yes,45,30317.16
T1000049,208,S3,L1,R1,1,Yes,36,30996
T1000050,207,S1,L1,R3,1,Yes,56,44996.4
T1000051,14,S3,L2,R4,1,Yes,94,65685.87
T1000052,206,S1,L1,R1,1,Yes,53,43776.72
T1000053,205,S1,L1,R2,1,Yes,62,44984.79
T1000054,212,S4,L2,R3,1,Yes,73,48184.02
T1000055,204,S4,L1,R3,1,Yes,29,22662.12
T1000056,202,S4,L2,R2,1,Yes,91,59368.38
T1000057,201,S4,L1,R1,1,Yes,31,31782.36
T1000058,200,S2,L1,R2,1,Yes,35,30574.44
T1000059,199,S1,L1,R4,1,Yes,78,60523.86
T1000060,198,S4,L2,R3,1,Yes,36,29214.57
T1000061,197,S2,L5,R1,1,Yes,45,47752.2
T1000062,196,S1,L1,R3,1,Yes,89,62712.57
T1000063,195,S4,L1,R1,1,Yes,53,44147.16
T1000064,203,S2,L4,R2,1,Yes,66,54358.92
T1000065,213,S1,L1,R2,1,Yes,74,52198.74
T1000066,214,S1,L1,R4,1,Yes,47,34936.44
T1000067,215,S3,L2,R1,1,Yes,42,38221.05
T1000068,232,S1,L1,R4,1,Yes,77,57121.2
T1000069,12,S1,L3,R2,1,Yes,81,60415.08
T1000070,231,S4,L2,R3,1,Yes,21,19131.12
T1000071,230,S2,L4,R4,1,Yes,41,29291.25
T1000072,229,S1,L1,R2,1,Yes,42,36057.06
T1000073,228,S1,L1,R1,1,Yes,60,47128.77
T1000074,227,S4,L2,R1,1,Yes,37,29282.88
T1000075,226,S2,L5,R4,1,Yes,61,52985.88
T1000076,225,S1,L1,R1,1,Yes,49,40764
